range,file,scored,accuracy,gold_counts,pred_counts
001-020,E1_OUTPUT_ROWS_001_020(1).jsonl,20,0.75,"{""C"": 5, ""S"": 6, ""I"": 7, ""S*"": 2}","{""I"": 7, ""C"": 3, ""S*"": 5, ""S"": 5}"
021-040,E1_OUTPUT_ROWS_021_040(1).jsonl,20,0.45,"{""C"": 4, ""S"": 14, ""S*"": 1, ""I"": 1}","{""C"": 1, ""S*"": 7, ""S"": 10, ""I"": 2}"
041-060,E1_OUTPUT_ROWS_041_060(1).jsonl,20,0.35,"{""S"": 15, ""I"": 5}","{""S*"": 11, ""S"": 4, ""I"": 5}"
061-080,E1_OUTPUT_ROWS_061_080(1).jsonl,20,0.35,"{""S"": 13, ""I"": 7}","{""S*"": 13, ""I"": 5, ""S"": 2}"
081-100,E1_OUTPUT_ROWS_081_100(1).jsonl,20,0.35,"{""S"": 17, ""I"": 3}","{""S*"": 13, ""S"": 5, ""I"": 2}"
101-120,E1_OUTPUT_ROWS_101_120(1).jsonl,20,0.4,"{""S"": 12, ""I"": 8}","{""S*"": 12, ""S"": 1, ""I"": 7}"
121-140,E1_OUTPUT_ROWS_121_140(1).jsonl,20,0.4,"{""S"": 16, ""I"": 4}","{""S*"": 11, ""I"": 5, ""S"": 4}"
141-160,E1_OUTPUT_ROWS_141_160(1).jsonl,20,0.35,"{""I"": 7, ""S"": 13}","{""I"": 9, ""S*"": 9, ""S"": 2}"
161-180,E1_OUTPUT_ROWS_161_180(1).jsonl,20,0.55,"{""S"": 17, ""C"": 3}","{""S"": 12, ""S*"": 4, ""C"": 1, ""I"": 3}"
181-200,E1_OUTPUT_ROWS_181_200(1).jsonl,20,0.75,"{""S"": 16, ""S*"": 2, ""I"": 1, ""C"": 1}","{""S"": 14, ""S*"": 3, ""I"": 2, ""C"": 1}"
201-219,E1_OUTPUT_ROWS_201_219(1).jsonl,19,0.5263157894736842,"{""S"": 14, ""I"": 1, ""C"": 2, ""S*"": 2}","{""S*"": 6, ""I"": 5, ""S"": 8}"
